epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3023,1.069,3.59457,1.36793,0.0141,0.30403,0.19394,0.14847,0.77333,3.33785,1.13499,0.00015,0.00015,0.00015
2,72.8259,0.89973,1.93808,1.19693,0.96529,0.19219,0.26867,0.20605,0.73301,2.67031,1.0867,0.000309406,0.000309406,0.000309406
3,101.49,0.81631,1.41872,1.16213,0.96765,0.22074,0.55786,0.46988,0.67,2.0367,0.99933,0.000465595,0.000465595,0.000465595
4,131.547,0.76986,1.15182,1.07537,0.93537,0.3324,0.59899,0.52203,0.65518,1.84485,0.97938,0.000618566,0.000618566,0.000618566
5,160.771,0.7005,0.98361,1.03444,0.95228,0.309,0.63571,0.54597,0.68935,1.90604,0.99712,0.00076832,0.00076832,0.00076832
6,188.951,0.71835,0.93883,1.04781,0.96112,0.53861,0.704,0.59288,0.64112,1.51778,0.98317,0.000914856,0.000914856,0.000914856
7,218.688,0.70913,0.89331,1.03436,0.94839,0.58684,0.71233,0.61007,0.62357,1.24949,0.95054,0.00105817,0.00105817,0.00105817
8,248.878,0.6856,0.81725,1.00049,0.92318,0.78048,0.91791,0.78003,0.61766,1.11663,0.95059,0.00116337,0.00116337,0.00116337
9,278.805,0.69189,0.84218,1.01204,0.91002,0.85005,0.90964,0.76801,0.62848,1.05349,0.96218,0.001151,0.001151,0.001151
10,308.389,0.65688,0.79155,1.00012,0.9333,0.79833,0.93091,0.70326,0.59135,0.97928,0.94442,0.00113863,0.00113863,0.00113863
11,336.351,0.62984,0.75552,0.98474,0.90477,0.91463,0.96624,0.82332,0.55833,0.90687,0.91785,0.00112625,0.00112625,0.00112625
12,366.293,0.64531,0.74668,0.99214,0.96755,0.97084,0.9861,0.81805,0.56004,0.71374,0.9223,0.00111388,0.00111388,0.00111388
13,393.979,0.62732,0.70662,0.97637,0.90415,0.93876,0.98351,0.79587,0.53597,0.75555,0.91625,0.0011015,0.0011015,0.0011015
14,424.894,0.61312,0.68609,0.9753,0.86696,0.95406,0.96172,0.82901,0.51116,0.64559,0.89828,0.00108913,0.00108913,0.00108913
15,453.277,0.58212,0.65241,0.96216,0.97298,0.97144,0.99137,0.83827,0.49494,0.53713,0.87492,0.00107675,0.00107675,0.00107675
16,482.093,0.60098,0.64691,0.97558,0.95436,0.95249,0.98662,0.85827,0.49622,0.57999,0.8809,0.00106437,0.00106437,0.00106437
17,510.397,0.57414,0.64446,0.95215,0.95826,0.98547,0.99207,0.8749,0.49523,0.51067,0.87573,0.001052,0.001052,0.001052
18,538.656,0.60706,0.64356,0.96314,0.97213,0.97691,0.99057,0.86739,0.48422,0.54536,0.87881,0.00103962,0.00103962,0.00103962
19,569.213,0.5631,0.62146,0.9372,0.969,0.95633,0.99219,0.86138,0.49121,0.51535,0.87816,0.00102725,0.00102725,0.00102725
20,598.125,0.56003,0.61099,0.95635,0.83471,0.98094,0.97384,0.82944,0.49386,0.52171,0.8873,0.00101488,0.00101488,0.00101488
21,624.425,0.55618,0.61101,0.94703,0.98258,0.95333,0.9914,0.86854,0.49175,0.51349,0.8847,0.0010025,0.0010025,0.0010025
22,653.529,0.5523,0.58077,0.9475,0.97321,0.96355,0.99233,0.87981,0.50237,0.48338,0.88638,0.000990125,0.000990125,0.000990125
23,681.74,0.54949,0.57257,0.94166,0.98072,0.98788,0.9944,0.89099,0.43184,0.43454,0.85524,0.00097775,0.00097775,0.00097775
24,711.646,0.52791,0.55043,0.93072,0.98686,0.96462,0.99311,0.85565,0.41123,0.43839,0.84449,0.000965375,0.000965375,0.000965375
25,741.431,0.53457,0.54907,0.93339,0.96228,0.94112,0.9904,0.87088,0.43131,0.48259,0.85365,0.000953,0.000953,0.000953
26,769.993,0.53741,0.56189,0.93667,0.9649,0.96749,0.98723,0.86506,0.43969,0.47492,0.86127,0.000940625,0.000940625,0.000940625
27,797.959,0.53505,0.54492,0.95016,0.95421,0.98127,0.99149,0.9007,0.42404,0.42473,0.84841,0.00092825,0.00092825,0.00092825
28,826.447,0.50689,0.51879,0.93938,0.98119,0.95254,0.99236,0.89425,0.40645,0.40941,0.84326,0.000915875,0.000915875,0.000915875
29,856.215,0.52796,0.51543,0.93503,0.97273,0.97876,0.99345,0.8851,0.41929,0.39618,0.84161,0.0009035,0.0009035,0.0009035
30,885.003,0.50865,0.50385,0.92584,0.97455,0.97585,0.99337,0.90871,0.40034,0.4155,0.8439,0.000891125,0.000891125,0.000891125
31,915.102,0.48005,0.49849,0.92326,0.95469,0.98538,0.99345,0.90707,0.39809,0.39864,0.84062,0.00087875,0.00087875,0.00087875
32,942.789,0.49657,0.49085,0.92388,0.98894,0.9884,0.99432,0.90963,0.38662,0.36729,0.83055,0.000866375,0.000866375,0.000866375
33,971.34,0.50714,0.48421,0.92725,0.98353,0.99067,0.9942,0.86719,0.40846,0.38671,0.83676,0.000854,0.000854,0.000854
34,1000.57,0.49446,0.47941,0.92185,0.98785,0.98721,0.99452,0.89363,0.39829,0.37513,0.84257,0.000841625,0.000841625,0.000841625
35,1028.02,0.47157,0.46531,0.90869,0.95846,0.98603,0.9931,0.90402,0.38893,0.38451,0.83314,0.00082925,0.00082925,0.00082925
36,1057.19,0.4965,0.47938,0.92157,0.97085,0.9797,0.98832,0.87826,0.41967,0.40452,0.84317,0.000816875,0.000816875,0.000816875
37,1086.01,0.49611,0.46468,0.92258,0.96387,0.95842,0.99151,0.90982,0.37027,0.36102,0.8266,0.0008045,0.0008045,0.0008045
38,1115.39,0.49158,0.48038,0.92917,0.96379,0.97793,0.99247,0.91512,0.39232,0.36543,0.83561,0.000792125,0.000792125,0.000792125
39,1143.23,0.47826,0.46437,0.92015,0.9608,0.99087,0.99141,0.90184,0.37695,0.36392,0.83111,0.00077975,0.00077975,0.00077975
40,1171.47,0.45232,0.44656,0.90781,0.95947,0.98972,0.99259,0.91239,0.38509,0.37024,0.83184,0.000767375,0.000767375,0.000767375
41,1198.89,0.46274,0.43713,0.90446,0.98323,0.98381,0.99383,0.932,0.38077,0.35461,0.83363,0.000755,0.000755,0.000755
42,1226.93,0.45855,0.45059,0.90656,0.97852,0.98694,0.99426,0.92562,0.38447,0.34022,0.83049,0.000742625,0.000742625,0.000742625
43,1255.46,0.45946,0.44363,0.89774,0.97523,0.98741,0.99435,0.92405,0.35908,0.33427,0.81731,0.00073025,0.00073025,0.00073025
44,1284.42,0.45892,0.43372,0.91123,0.98901,0.9855,0.99413,0.92767,0.37062,0.33955,0.82169,0.000717875,0.000717875,0.000717875
45,1312.66,0.44611,0.42923,0.9117,0.98739,0.98652,0.99336,0.9164,0.36799,0.34727,0.82414,0.0007055,0.0007055,0.0007055
46,1341.87,0.46464,0.43088,0.91265,0.98738,0.99476,0.99408,0.91911,0.35458,0.32883,0.81423,0.000693125,0.000693125,0.000693125
47,1370.29,0.43841,0.40887,0.89367,0.98597,0.98707,0.99461,0.92235,0.37145,0.33072,0.82388,0.00068075,0.00068075,0.00068075
48,1400.51,0.4364,0.4153,0.89977,0.98277,0.98871,0.99409,0.93639,0.36581,0.33342,0.81944,0.000668375,0.000668375,0.000668375
